userWallet,total_borrow_usd,total_deposit_usd,total_redeem_usd,total_repay_usd,repay_ratio,deposit,borrow,repay,redeemunderlying,action_types_used,tx_count,repay_delay_days,days_active,unique_assets,asset_mismatch,credit_score,score_class
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,0.0,14.143677216766179,14.13060358607649,0.0,0.0,1,0,0,1,2,2,0.0,0,1,0,780,Moderate
0x0016469a65facda9e86fd0ae0e9661128843c224,0.004676133673838557,0.020668510838366422,0.0,0.0,0.0,1,1,0,0,2,2,-1.0,0,1,True,430,Weak
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,0.0,0.20245672002376752,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00183135585d70a523d61b2e43037a7138b36906,3849.7900537521605,5069.1867720319915,3843.289089787082,1709.0734256336661,0.4439393841666598,15,13,10,16,4,54,1.0,57,6,True,770,Moderate
0x00184e8aa1e95f491f2d9601e12b540092160ded,24.98479710580002,102.30571110800008,102.30571110800008,24.98479710580002,1.0,1,1,1,1,4,4,0.0,0,2,False,1000,Prime (AAA)
0x0018583d7654803d2c59467e10dec5f70bbe1851,0.0,0.0007214676583205847,0.0,0.0,0.0,72,0,0,0,1,72,0.0,22,3,0,780,Moderate
0x001875a076b3cfe1c9535d76b0345c16e3d61118,0.0,2.259609878203448,0.0,0.0,0.0,2,0,0,0,1,2,0.0,5,1,0,760,Moderate
0x0018d044b946ede86b43bb3b964a45772a5abeb9,1.1215514727063227,33498.02454204079,39219.26696853398,1.121345368530205,0.9998162329762535,9,2,2,9,4,22,0.0,53,3,False,1000,Prime (AAA)
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,79.00412443596895,0.0,203.87955507480876,158.72329212505053,2.0090507078993345,0,1,2,2,3,5,0.0,14,3,False,1000,Prime (AAA)
0x0019bd9f6142943f3a03a8a62d0001a95213f555,0.0,0.1266083922640406,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x001b024b98ee862aa01eea595c4c16a0213d2611,498.74059439622636,901.2925262863051,0.0,0.0,0.0,1,1,0,0,2,2,-1.0,0,2,True,430,Weak
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,234.8782142990087,407.7927441529084,332.4155061071014,235.2622310010467,1.001634960922979,10,6,7,9,4,32,1.0,23,3,False,1000,Prime (AAA)
0x001bc97d92e1a30b02d4e75be25f06063555d556,54445.837409092936,114723.42231228868,100024.6927273874,54503.63129933802,1.0010614932746986,12,10,9,14,4,45,0.0,9,4,False,1000,Prime (AAA)
0x001be549fa377710b9e59d57bbdf593ce1e379ca,0.0,16.47047136709072,0.0,0.0,0.0,2,0,0,0,1,2,0.0,20,2,0,780,Moderate
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,0.0,1.822345610280172,0.0,0.0,0.0,2,0,0,0,1,2,0.0,9,2,0,780,Moderate
0x001d2a3192a49e28cac0a7abcaa916648c62b982,0.0,1.5659901853326883,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,0.0,1.1337851305503868,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x001f96b7e19a54ae45f451b0148336504d03fdcf,0.0,5.666408226639781,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,0.0,1196.3032316799445,323.60395233508615,0.0,0.0,5,0,0,1,2,6,0.0,68,2,0,830,Strong
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,0.0,0.02360514637371101,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0,2068000.9228473718,0.0,0.0,0,0,0,1,1,1,0.0,0,1,0,760,Moderate
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,0.0,1.167477656127134,0.0,0.0,0.0,2,0,0,0,1,2,0.0,6,2,0,760,Moderate
0x00222d56e0509a5e9ab05c588c548290a5e9f876,0.0,1.10570237623672,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002379916ac42a432f3b53f16782d33267debb4c,0.0,1.1886507952922616,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,0.0,2.259609878203448,0.0,0.0,0.0,2,0,0,0,1,2,0.0,5,1,0,760,Moderate
0x0023d9ffe7d793895c5da5833d56c737832ead2b,0.0,15.189578905507386,0.0,0.0,0.0,2,0,0,0,1,2,0.0,0,1,0,760,Moderate
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,0.0,5.129981410556754,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,0.0,3.1033054982620953,0.0,0.0,0.0,2,0,0,0,1,2,0.0,1,1,0,760,Moderate
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0,1015.376097255415,0.0,0.0,0,0,0,1,1,1,0.0,0,1,0,760,Moderate
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,0.0,0.026044090290244567,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00246f7813397868b1beec56e1677efa47816dae,5816299.44346321,7438978.731874706,7001681.4246290345,5472177.71761479,0.9408349365101604,30,9,2,3,4,44,11.0,21,1,False,920,Prime (AAA)
0x0025a856d01a898bd52286d56c52323b13937b65,0.0,0.1422024974218183,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00261d225db379b3fc74cd0228d6f90582d39035,0.004713438272388597,0.032239917783138006,0.0,0.0,0.0,1,1,0,0,2,2,-1.0,0,1,True,430,Weak
0x00262ffcfda82b5582d1905ca05b849f196b0419,57.24285810787879,101.41967361600112,101.03588165764046,56.95340624693983,0.9949434414963442,4,3,1,2,4,10,3.0,3,2,False,1000,Prime (AAA)
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,0.0,0.16209142428199927,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,0.0,1.8629892980475518,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,0.0,0.2045908664031135,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
